City,Code
ABBOTTABAD,PKAAW
"ATTOCK ",PKATG
"BAHAWALPUR ",PKBHV
LODHRAN,PKBHV
BANNU,PKBNP
"LAKKI MARWAT ",PKBNP
BUNER,PKBUN
"CHATRAL ",PKCJL
CHAKWAL,PKCKW
DADU,PKDDU
"DERA GHAZI KHAN ",PKDEA
"RAJAN PUR ",PKDEA
"DASKA ",PKDKA
"DIKHAN  ",PKDSK
"GILGIT ",PKGIL
" GUJRAT ",PKGRT
" GUJRANWALA ",PKGUW
"HYDERABAD ",PKHDD
"JAMSHORO ",PKHDD
" HAFIZABAD ",PKHFD
"HARIPUR ",PKHPR
"MANSEHRAH  ",PKHRA
"BATTAGRAM ",PKHRA
"MANSEHRA ",PKHRA
" ISLAMABAD ",PKISB
"F R TANK ",PKJMR
"JHELUM ",PKJMR
" KARACHI",PKKHI
"KOTLI AJK ",PKKOL
" KHUSAHB ",PKKSB
"KASUR ",PKKUS
"KHANEWAL ",PKKWL
"LAYYAH ",PKLAY
" LAHORE",PKLHE
"KAMBER SHAHDADKOT ",PKLRK
"CHINIOT ",PKLYP
"FAISALABAD ",PKLYP
" CHARSADDA ",PKMDX
" MARDAN ",PKMDX
" NORTH WAZIRISTAN ",PKMDX
" ORAKZAI AGENCY  ",PKMDX
"BAJAUR ",PKMDX
CHARSADDA ,PKMDX
"DIR ",PKMDX
"DISTKURRAM AGENCY ",PKMDX
KHYBER AGENCY ,PKMDX
KURRAM AGENCY ,PKMDX
LOWER DIR ,PKMDX
MARDAN,PKMDX
"MOHMAND AGENCY ",PKMDX
"N W AGENCY ",PKMDX
"NORTH WAZIRISTAN ",PKMDX
NW AGENCY,PKMDX
"ORAKZAI AGENCY ",PKMDX
"S W AGENCY ",PKMDX
"SHANGLA ",PKMDX
"SOUTH WAZIRISTAN ",PKMDX
SW AGENCY,PKMDX
"UPPER DIR ",PKMDX
"WAZIRISTAN AGENCY ",PKMDX
"KOTLI AJK ",PKMFG
"MIRPUR AJK ",PKMFG
MUZAFARABAD,PKMFG
"MALAKAND ",PKMKD
"MIRPURKHAS ",PKMPD
MULTAN,PKMUX
"MUZAFFAR GARH ",PKMZJ
"NANKANA SAHIB ",PKNNS
NAROWAL,PKNRW
" NOWSHERA",PKNSR
" KOHAT ",PKOHT
HANGU,PKOHT
KARAK,PKOHT
KOHAT,PKOHT
Okara,PKOHT
ORAKZAI,PKOHT
PESHAWAR,PKPEW
PANJGUR  (CNIC#) 52301-5926417-3,PKPJG
"HNOD-977SHAFIQ COLONY SATELITE TOWN RAWALPINDI ",PKRWP
RAWALPINDI,PKRWP
"RAHIM YAR KHAN ",PKRYK
" SHEIKHUPURA ",PKSGI
MANDI BAHAUDDIN,PKSGI
"SARGODHA ",PKSGI
" SIALKOT ",PKSKT
"GHOTKI ",PKSKZ
" SHEIKHUPURA",PKSUA
SHEIKHUPURA,PKSUA
"SHEIKHUPURA ",PKSUA
" SWABI ",PKSWB
SWABI  LA1815282,PKSWB
"NAUSHAHRO FEROZE ",PKSWN
"SAHIWAL ",PKSWN
" SWAT ",PKSWT
"TOBA TEK SINGH ",PKTTS
" QUETTA ",PKUET
" VEHARI ",PKVHR
"BAHAWALNAGAR ",PKWGB
"NAWABSHAH ",PKWNS